Date,Open,High,Low,Close,Adj Close,Volume
2008-04-30,56.37568283081055,62.01325225830078,54.49649429321289,61.82533264160156,57.60377883911133,7164258
2008-05-02,62.95284652709961,65.7716293334961,58.25487518310547,58.44279479980469,54.452205657958984,6009505
2008-05-05,58.44279479980469,60.134063720703125,56.18776321411133,57.221317291259766,53.31413269042969,2679346
2008-05-06,58.25487518310547,60.5098991394043,57.503196716308594,58.25487518310547,54.27711868286133,2745332
2008-05-07,58.81863021850586,61.07365798950195,56.751522064208984,61.07365798950195,56.9034309387207,4830273
2008-05-08,62.201171875,65.30183410644531,62.01325225830078,65.30183410644531,60.842899322509766,9182682
2008-05-09,68.49645233154297,69.71793365478516,67.27498626708984,69.1541748046875,64.43218994140625,10274642
2008-05-12,67.65081787109375,67.65081787109375,64.36223602294922,65.7716293334961,61.28061294555664,4703623
2008-05-13,67.5568618774414,68.59041595458984,66.42935180664062,67.65081787109375,63.03148651123047,3450423
2008-05-14,67.65081787109375,71.4092025756836,66.71122741699219,69.53001403808594,64.7823715209961,4538126
2008-05-15,70.4696044921875,72.34879302978516,70.4696044921875,70.4696044921875,65.65780639648438,4977677
2008-05-16,71.78504180908203,72.16087341308594,68.40249633789062,69.90584564208984,65.13253784179688,4270458
2008-05-19,69.90584564208984,69.90584564208984,67.65081787109375,67.93270111083984,63.294124603271484,2895929
2008-05-20,67.65081787109375,68.77833557128906,67.27498626708984,68.40249633789062,63.731842041015625,2686264
2008-05-21,68.49645233154297,69.90584564208984,67.27498626708984,68.02665710449219,63.38166427612305,2188709
2008-05-22,67.27498626708984,67.27498626708984,64.83203887939453,65.95954895019531,61.45570373535156,2493096
2008-05-23,65.95954895019531,66.42935180664062,62.67096710205078,62.76492691040039,58.47921371459961,2354738
2008-05-26,61.73137283325195,62.38909149169922,58.81863021850586,59.38238525390625,55.327640533447266,1701265
2008-05-27,59.946144104003906,60.697818756103516,59.38238525390625,60.321983337402344,56.20307922363281,1186149
2008-05-28,60.885738372802734,64.4561996459961,59.57030487060547,62.95284652709961,58.65430450439453,2487774
2008-05-29,62.95284652709961,63.516605377197266,61.26157760620117,61.44949722290039,57.253604888916016,1281403
2008-05-30,62.38909149169922,63.32868576049805,60.979698181152344,61.44949722290039,57.253604888916016,1520868
2008-06-02,61.44949722290039,61.82533264160156,59.75822448730469,60.41594314575195,56.290626525878906,657198
2008-06-03,60.5098991394043,61.63741683959961,59.946144104003906,59.946144104003906,55.8529052734375,914223
2008-06-04,60.134063720703125,61.07365798950195,59.75822448730469,60.41594314575195,56.290626525878906,665180
2008-06-05,60.979698181152344,60.979698181152344,59.946144104003906,60.791778564453125,56.64079666137695,798216
2008-06-06,63.516605377197266,63.516605377197266,61.44949722290039,61.63741683959961,57.42869567871094,2004055
